estacion_nombre,estacion_id,lat,lon,ramal,ramal_id
la plata,217,-34.90457,-57.9491442,universitario,39
arquitectura,25,-34.9047984,-57.9427394,universitario,39
informática,179,-34.9036359,-57.9351666,universitario,39
medicina,267,-34.9089309,-57.9280071,universitario,39
periodismo,304,-34.9120616,-57.9243977,universitario,39
diagonal 73,113,-34.9183777,-57.9194671,universitario,39
policlínico,311,-34.9253053,-57.9213044,universitario,39
avenida 7,5976,-34.9045869,-57.9338503,universitario,39
circunvalación,5977,-34.9266524,-57.9227584,universitario,39
meridiano v,5978,-34.9360182,-57.9330299,universitario,39
calle 25,5979,-34.9415039,-57.939046,universitario,39
maipú,248,-34.5130886,-58.487579,tren de la costa,41
borges,42,-34.5081513,-58.4845536,tren de la costa,41
libertador,233,-34.5027276,-58.4821262,tren de la costa,41
juan anchorena,198,-34.4891115,-58.4812172,tren de la costa,41
las barrancas,222,-34.4722137,-58.4934212,tren de la costa,41
san isidro r,358,-34.4654466,-58.5081309,tren de la costa,41
punta chica,319,-34.4506585,-58.5236988,tren de la costa,41
marina nueva,258,-34.4445522,-58.5390515,tren de la costa,41
san fernando r,356,-34.4375367,-58.553991,tren de la costa,41
canal san fernando,58,-34.4299116,-58.5629211,tren de la costa,41
delta,104,-34.419003,-58.5761953,tren de la costa,41
moreno,278,-34.6504898,-58.7898007,mercedes,51
la reja,218,-34.6391388,-58.8305241,mercedes,51
f. álvarez,134,-34.6316288,-58.8573859,mercedes,51
p. marín,310,-34.6222444,-58.8956413,mercedes,51
las malvinas,226,-34.616121,-58.9218744,mercedes,51
gral. rodríguez,163,-34.6083812,-58.955023,mercedes,51
la fraternidad,210,-34.5979098,-58.9999426,mercedes,51
lezica y torrezuri,231,-34.5841144,-59.0588828,mercedes,51
univ. luján,401,-34.5769271,-59.0895022,mercedes,51
luján,247,-34.5778238,-59.1054958,mercedes,51
jáuregui,188,-34.6013027,-59.1755069,mercedes,51
olivera,290,-34.6286035,-59.2574204,mercedes,51
gowland,155,-34.6482561,-59.354958,mercedes,51
mercedes,268,-34.6576249,-59.4328081,mercedes,51
