ramal_id,orden,nombre_ramal,cabeceraInicial,cabeceraFinal,linea,estaciones,linea_id
67,4,Marcos Paz,G. Catán,Marcos Paz,Belgrano Sur,"[154, 526, 3700]",21
25,1,Gonzalez Catán,Bs As,G. Catán,Belgrano Sur,"[48, 525, 427, 313, 422, 424, 260, 385, 181, 321, 209, 256, 178, 154]",21
63,3,Apeadero Km 12,Apeadero Km 12,Libertad,Belgrano Sur,"[315, 417, 413, 421, 180, 220, 22, 12, 354, 195, 203, 184, 325, 270, 232, 259]",21
21,2,M.C.G. Belgrano,Bs As,Marinos,Belgrano Sur,"[48, 121, 427, 313, 422, 424, 260, 385, 12, 354, 195, 203, 184, 325, 270, 232, 259]",21
35,0,Zarate,V. Ballester,Zarate,Mitre,"[412, 29, 296, 37, 263, 130, 335, 294, 55, 204, 434]",5
33,0,Capilla del Señor,Victoria,Capilla,Mitre,"[409, 118, 128, 240, 147, 253, 264, 436, 243, 61]",5
7,3,Mitre,Retiro (LM),Mitre,Mitre,"[332, 1, 272, 91, 35, 90, 346, 200, 141, 119, 273]",5
5,1,Tigre,Retiro (LM),Tigre,Mitre,"[332, 229, 34, 287, 337, 408, 291, 212, 262, 5, 357, 32, 409, 428, 355, 65, 389]",5
9,2,J. L. Suárez,Retiro (LM),J. L. Suárez,Mitre,"[332, 1, 272, 91, 35, 236, 150, 318, 271, 360, 353, 249, 412, 79, 190]",5
39,0,Universitario,La Plata,Policlínico,Roca,"[217, 25, 179, 267, 304, 113, 311, 5976, 5977, 5978, 5979]",11
57,10,Chascomús,Plaza C.,Chascomús,Roca,"[93, 386, 13, 117, 86, 189, 17, 146, 78, 6, 275, 230]",11
29,9,Gutiérrez,Temperley,Gutiérrez,Roca,"[386, 197, 324, 85, 102, 138, 435, 43, 367, 168]",11
43,7,Cañuelas Esp,Plaza C.,Cañuelas (Pza),Roca,"[93, 172, 368, 151, 215, 329, 30, 238, 386, 399, 235, 246, 277, 125, 132, 400, 396, 64, 265, 407, 14, 21, 333, 60]",11
13,5,Bosques-Q,Plaza C.,Bosques-Q,Roca,"[93, 368, 370, 418, 430, 115, 39, 322, 133, 38, 420, 328, 380, 43]",11
15,4,Bosques-T,Plaza C.,Bosques-T,Roca,"[93, 172, 368, 151, 215, 329, 30, 238, 386, 197, 324, 85, 102, 138, 435, 43]",11
19,3,Ezeiza,Plaza C.,Ezeiza,Roca,"[93, 172, 368, 151, 215, 329, 30, 238, 386, 399, 235, 246, 277, 125, 132]",11
11,2,La Plata,Plaza C.,La Plata,Roca,"[93, 368, 370, 418, 430, 115, 39, 322, 133, 38, 309, 176, 303, 419, 83, 153, 334, 392, 217]",11
17,1,Alejandro Korn,Plaza C.,A. Korn,Roca,"[93, 172, 368, 151, 215, 329, 30, 238, 386, 8, 49, 239, 152, 165, 13]",11
37,0,Cañuelas,Ezeiza,Cañuelas,Roca,"[386, 399, 235, 246, 277, 125, 132, 400, 396, 64, 265, 407, 14, 21, 333, 60]",11
27,0,Haedo,Temperley,Haedo,Roca,"[386, 174, 365, 201, 205, 314, 9, 383, 359, 182, 169]",11
49,11,Monte,Plaza C.,Monte,Roca,"[93, 368, 329, 386, 235, 132, 396, 64, 407, 333, 60, 214, 3, 276]",11
55,12,Lobos,Plaza C.,Lobos,Roca,"[93, 368, 329, 386, 235, 132, 396, 407, 333, 60, 402, 129, 237]",11
65,0,Cabred,Retiro (LSM),Cabred,San Martín,"[463, 297, 414, 216, 415, 112, 348, 369, 67, 127, 177, 431, 36, 283, 361, 194, 378, 106, 411, 306, 252, 51]",31
1,1,Moreno,Once,Moreno,Sarmiento,"[293, 50, 139, 140, 423, 234, 84, 327, 169, 279, 70, 186, 347, 269, 300, 278]",1
53,0,Lobos,Merlo,Lobos,Sarmiento,"[269, 464, 137, 257, 254, 432, 173, 225, 381, 433, 129, 237]",1
51,0,Mercedes,Moreno,Mercedes,Sarmiento,"[278, 218, 134, 310, 226, 163, 210, 231, 401, 247, 188, 290, 155, 268]",1
41,0,Tren de la Costa,Maipú,Delta,Tren de la Costa,"[248, 42, 233, 198, 222, 358, 319, 258, 356, 58, 104]",41
